Module;Offered;Group;Language;Activity;Day;Start;End;Venue;Campus;Study Prog
ABR311;S1;G01;E;L1;Tuesday;13:30;14:30;HB 4-3;HATFIELD;
ABR311;S1;G01;E;L2;Thursday;08:30;09:30;Law building 1-54;HATFIELD;
ABR311;S1;G01;E;T1;Friday;12:30;13:30;Law building 1-54;HATFIELD;
ABR410;S1;G01;E;L1;Tuesday;07:30;09:30;Centenary 6;HATFIELD;
ABR410;S1;G02;E;L1;Thursday;08:30;10:30;vd Bijl hall;HATFIELD;
ABV320;S2;G01;E;L1;Monday;08:30;09:30;Roos hall;HATFIELD;
ABV320;S2;G01;E;L2;Tuesday;10:30;12:30;Roos hall;HATFIELD;
AFR110;S1;G01;A;B1;Tuesday;14:30;16:30;HB 4-5;HATFIELD;
AFR110;S1;G01;A;L1;Monday;11:30;13:30;HB 4-7;HATFIELD;
AFR110;S1;G51;A;L1;Wednesday;15:30;17:30;Aldoel Bld 3-25;GROENKLOOF;
AFR110;S1;G51;A;P1;Friday;09:30;11:30;Aldoel Bld 3-25;GROENKLOOF;
AFR114;S1;G01;A;L1;Tuesday;12:30;13:30;HB 1-7;HATFIELD;
AFR114;S1;G01;A;L2;Thursday;11:30;12:30;HB 1-7;HATFIELD;
AFR120;S2;G01;A;B1;Thursday;15:30;17:30;HB 4-5;HATFIELD;
AFR120;S2;G01;A;L1;Monday;13:30;15:30;HB 4-9;HATFIELD;
AFR120;S2;G51;A;L1;Monday;08:30;10:30;Aldoel Bld 2-89/90;GROENKLOOF;
AFR120;S2;G51;A;P1;Friday;07:30;09:30;Aldoel Bld 3-25;GROENKLOOF;
AFR210;S1;G01;A;L1;Tuesday;09:30;10:30;HB 4-5;HATFIELD;
AFR210;S1;G01;A;L2;Thursday;09:30;10:30;HB 3-14;HATFIELD;
AFR214;S1;G01;A;D1;Thursday;15:30;17:30;HB 4-5;HATFIELD;
AFR214;S1;G01;A;L1;Monday;14:30;16:30;HB 4-16;HATFIELD;
AFR214;S1;G51;A;D1;Friday;11:30;13:30;Lecture Theatre L2;GROENKLOOF;
AFR214;S1;G51;A;L1;Wednesday;11:30;13:30;Lecture Theatre L2;GROENKLOOF;
AFR220;S2;G01;A;D1;Thursday;14:30;16:30;HB 1-4;HATFIELD;
AFR220;S2;G01;A;L1;Monday;15:30;17:30;HB 1-12;HATFIELD;
AFR220;S2;G51;A;D1;Friday;11:30;13:30;Aldoel Bld 2-87/88;GROENKLOOF;
AFR220;S2;G51;A;L1;Wednesday;14:30;16:30;Aldoel Bld 2-87/88;GROENKLOOF;
AFR311;S1;G01;A;D1;Thursday;15:30;17:30;HB 1-10;HATFIELD;
AFR311;S1;G01;A;L1;Tuesday;13:30;15:30;HB 1-10;HATFIELD;
AFR321;S2;G01;A;D1;Thursday;07:30;09:30;HB 1-7;HATFIELD;
AFR321;S2;G01;A;L1;Wednesday;13:30;15:30;HB 1-12;HATFIELD;
AFR358;S1;G01;A;D1;Thursday;08:30;09:30;HB 2-15;HATFIELD;
AFR358;S1;G01;A;L1;Wednesday;13:30;15:30;HB 2-15;HATFIELD;
AFT121;S2;G01;E;L1;Monday;09:30;10:30;HB 3-14;HATFIELD;
AFT121;S2;G01;E;L1;Monday;09:30;10:30;HB 4-5;HATFIELD;
AFT121;S2;G01;E;L1;Monday;09:30;10:30;HB 4-6;HATFIELD;
AFT121;S2;G01;E;L1;Monday;09:30;10:30;HB 4-7;HATFIELD;
AFT121;S2;G01;E;L2;Thursday;12:30;13:30;HB 3-15;HATFIELD;
AFT121;S2;G01;E;L2;Thursday;12:30;13:30;HB 3-24;HATFIELD;
AFT121;S2;G01;E;L2;Thursday;12:30;13:30;HB 4-7;HATFIELD;
AFT121;S2;G01;E;L2;Thursday;12:30;13:30;HB 4-8;HATFIELD;
AFT121;S2;G51;E;L1;Monday;16:30;17:30;Aldoel 2;GROENKLOOF;
AFT121;S2;G51;E;L1;Monday;16:30;17:30;Aldoel 3;GROENKLOOF;
AFT121;S2;G51;E;L1;Monday;16:30;17:30;Aldoel Bld 2-83/84;GROENKLOOF;
AFT121;S2;G51;E;L1;Monday;16:30;17:30;Aldoel Bld 2-89/90;GROENKLOOF;
AFT121;S2;G51;E;L2;Wednesday;10:30;11:30;Aldoel 2;GROENKLOOF;
AFT121;S2;G51;E;L2;Wednesday;10:30;11:30;Aldoel 3;GROENKLOOF;
AFT121;S2;G51;E;L2;Wednesday;10:30;11:30;Aldoel Bld 2-89/90;GROENKLOOF;
AFT121;S2;G51;E;L2;Wednesday;10:30;11:30;Aldoel Bld 3-12;GROENKLOOF;
AFT220;S2;G01;E;L1;Monday;10:30;11:30;HB 3-23;HATFIELD;
AFT220;S2;G01;E;L1;Monday;10:30;11:30;HB 3-24;HATFIELD;
AFT220;S2;G01;E;L1;Monday;10:30;11:30;HB 4-14;HATFIELD;
AFT220;S2;G01;E;L1;Monday;10:30;11:30;HB 4-5;HATFIELD;
AFT220;S2;G01;E;L2;Thursday;14:30;15:30;HB 4-14;HATFIELD;
AFT220;S2;G01;E;L2;Thursday;14:30;15:30;HB 4-15;HATFIELD;
